no;sentence;case;label_adam;reason_adam;label_anthony;reason_anthony;label_yoshua;reason_yoshua;mdhugol_pred;mdhugol_conf;poerwiyanto_pred;poerwiyanto_conf;hilmansw_pred;hilmansw_conf;ayameRushia_pred;ayameRushia_conf
1;Gua paling benci kalau ketemu anak-anak orang kaya yang belagu.;fw;negative;hinaan;negative;hinaan;negative;hinaan;negative;0.9976945519447327;positive;0.9983162879943848;negative;0.9998711347579956;negative;0.9998596906661987
2;Anaknya yang belagu, bukan orang tuanya.;fw;neutral;-;negative;ketidakpuasan;negative;ketidakpuasan;negative;0.9942200183868408;positive;0.9973962306976318;neutral;0.9997896552085876;negative;0.9997264742851257
3;Anaknya yang belagu.;fw;negative;hinaan;negative;ketidakpuasan;negative;hinaan;negative;0.9967495203018188;positive;0.9946039319038391;neutral;0.8514827489852905;negative;0.9998071789741516
4;Udah belagu, so oke gitu ya, so keren gitu.;fw;negative;hinaan;negative;ketidakpuasan;negative;ketidakpuasan;positive;0.9865052103996277;negative;0.9978929162025452;positive;0.9996360540390015;positive;0.9995300769805908
5;Padahal yang kaya bukan dia, yang kaya orang tuanya.;fw;neutral;-;negative;ketidakpuasan;negative;hinaan;negative;0.994734525680542;positive;0.9963189363479614;neutral;0.999806821346283;negative;0.9996308088302612
6;Jadi agak-agak goblok kalau menurut gua.;fw;negative;hinaan;negative;hinaan;negative;hinaan;negative;0.9981826543807983;positive;0.9983053207397461;negative;0.9831109046936035;negative;0.9998540878295898
7;Kalau anak gua belagu, gua usir.;fw;neutral;-;positive;ketidakpuasan;negative;ketidakpuasan;negative;0.9966354966163635;positive;0.8707188963890076;negative;0.9998435974121094;negative;0.9998412132263184
8;Kalau anak gua lho ya.;fw;negative;ketidakpuasan;neutral;-;neutral;-;neutral;0.9942120909690857;neutral;0.8730069994926453;neutral;0.9998900890350342;negative;0.9995833039283752
9;Jangan salah lho.;fw;positive;pujian;neutral;-;neutral;-;positive;0.6472594738006592;positive;0.6400812864303589;neutral;0.9998719692230225;positive;0.9978978633880615
10;Pernah gua usir.;fw;negative;hinaan;neutral;ketidakpuasan;neutral;-;negative;0.9928985834121704;neutral;0.9925716519355774;negative;0.999858021736145;negative;0.9996881484985352
11;Karena gua gak suka gitu kalau ada anak-anak kaya yang belagu.;fw;neutral;-;neutral;ketidakpuasan;negative;ketidakpuasan;negative;0.9975916147232056;positive;0.9905062317848206;negative;0.9864796996116638;negative;0.9997957348823547
12;Terus udah gitu tambangnya petantang-pententeng.;fw;neutral;-;negative;ketidakpuasan;neutral;-;negative;0.6578323245048523;positive;0.860449492931366;neutral;0.9997733235359192;negative;0.9985767602920532
