no,sentence,case,label_adam,reason_adam,label_anthony,reason_anthony,label_yoshua,reason_yoshua
1,Gua paling benci kalau ketemu anak-anak orang kaya yang belagu.,fw,negative,hinaan,negative,hinaan,negative,hinaan
2,"Anaknya yang belagu, bukan orang tuanya.",fw,neutral,-,negative,ketidakpuasan,negative,ketidakpuasan
3,Anaknya yang belagu.,fw,negative,hinaan,negative,ketidakpuasan,negative,hinaan
4,"Udah belagu, so oke gitu ya, so keren gitu.",fw,negative,hinaan,negative,ketidakpuasan,negative,ketidakpuasan
5,"Padahal yang kaya bukan dia, yang kaya orang tuanya.",fw,neutral,-,negative,ketidakpuasan,negative,hinaan
6,Jadi agak-agak goblok kalau menurut gua.,fw,negative,hinaan,negative,hinaan,negative,hinaan
7,"Kalau anak gua belagu, gua usir.",fw,neutral,-,positive,ketidakpuasan,negative,ketidakpuasan
8,Kalau anak gua lho ya.,fw,negative,ketidakpuasan,neutral,-,neutral,-
9,Jangan salah lho.,fw,positive,pujian,neutral,-,neutral,-
10,Pernah gua usir.,fw,negative,hinaan,neutral,ketidakpuasan,neutral,-
11,Karena gua gak suka gitu kalau ada anak-anak kaya yang belagu.,fw,neutral,-,neutral,ketidakpuasan,negative,ketidakpuasan
12,Terus udah gitu tambangnya petantang-pententeng.,fw,neutral,-,negative,ketidakpuasan,neutral,-
13,Nyuruh-nyuruh orang gitu.,fw,negative,ketidakpuasan,negative,ketidakpuasan,neutral,-
14,Monyet.,fw,negative,hinaan,neutral,-,neutral,-
15,Apalagi kalau misalnya terus nyuruh karyawan bapaknya.,fw,neutral,-,negative,ketidakpuasan,negative,ketidakpuasan
16,Atau teman bapaknya gitu.,fw,negative,ketidakpuasan,neutral,-,neutral,-
17,Gua ngomong ke anak-anak gue.,fw,positive,pujian,neutral,-,neutral,-
18,"Mereka tuh kerjanya buat gue, bukan buat lu.",fw,negative,kepuasan,negative,kepuasan,neutral,-
19,"Jadi kalau mereka nurut, nurutnya karena gue bayar.",fw,negative,kepuasan,negative,kepuasan,negative,ketidakpuasan
20,Dan karena mereka appreciate sama gua.,fw,positive,pujian,negative,kepuasan,positive,pujian
21,"Karena menghargai gua, bukan menghargai lu.",fw,neutral,-,negative,kepuasan,negative,hinaan
22,"Ini nyambungnya ke mana, dengerin dulu.",fw,positive,pujian,neutral,ketidakpuasan,neutral,-
23,"Karena kalau anak-anak orang kaya ini,",fw,negative,hinaan,neutral,-,neutral,-
24,"yang pada tolol itu,",fw,negative,hinaan,negative,hinaan,negative,hinaan
25,"kalau dilepas semua privilege-nya,",fw,neutral,-,neutral,ketidakpuasan,neutral,-
26,jadi tolol beneran.,fw,negative,hinaan,negative,hinaan,negative,hinaan
27,Karena gak pernah ngerasain hidup itu seperti apa.,fw,neutral,-,neutral,-,neutral,-
28,Jadi hidup mereka itu ada di dalam sebuah halusinasi.,fw,neutral,-,negative,hinaan,negative,hinaan
29,"Tidurnya kasurnya nyaman, AC-nya nyala, listriknya dibayar.",fw,positive,kepuasan,positive,pujian,positive,kepuasan
30,"Makan, bangun, disediain.",fw,positive,kepuasan,positive,pujian,neutral,-
31,"Kemana-mana pake supir, mobil ganti-ganti.",fw,negative,ketidakpuasan,positive,pujian,positive,pujian
32,Masalahnya hidup yang sebenarnya gak seperti itu.,fw,negative,ketidakpuasan,positive,pujian,neutral,-
33,"Jadi kalau lu ketemu temen lu yang kaya sendirian,",fw,neutral,-,neutral,-,neutral,-
34,"belagu, belagu ya.",fw,negative,hinaan,negative,hinaan,negative,hinaan
35,Tempeleng aja.,fw,negative,hinaan,negative,hinaan,negative,ketidakpuasan
36,"Soalnya mereka rasain sekarang itu,",fw,positive,ketidakpuasan,neutral,-,neutral,-
37,gak gua rasain waktu umuran gua seperti mereka.,fw,positive,-,neutral,-,negative,ketidakpuasan
38,Jadi gua berhak untuk ngomong.,fw,positive,ketidakpuasan,neutral,ketidakpuasan,negative,ketidakpuasan
39,"Kalau gua bilang mulai dari nol,",fw,negative,ketidakpuasan,neutral,-,neutral,-
40,gua berhak untuk ngomong.,fw,positive,ketidakpuasan,neutral,ketidakpuasan,neutral,-
41,"Kalau ada motivator lain yang bilang,",fw,neutral,-,neutral,ketidakpuasan,neutral,-
42,"saya mulainya dari nol,",fw,positive,pujian,neutral,-,neutral,-
